textID,text,sentiment
ec2ace4113,Whew!,positive
b418473f46,funny,positive
0456aab9bb,qood morninq,neutral
1d963010df,i had a good selection of flavors,positive
6ff167d4df,"all my work got erased  sry guys,",negative
6f3818a39e,its very cool,positive
a2b0366a80,terrible,negative
fd41039b36,Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!,neutral
b8a74f424b,`s probably best,positive
05d9f83c67,"No, seriously you guys, I /wanted/ to kick Monday off wit",negative
91cbc149c0,Nvd i was sitting on it,neutral
bb49677e04,Cute,positive
8cd4ccab2b,headache and colds..,negative
fb58fcae23,I`m soo jealous right now!!,negative
6bc28b9026,sad,negative
ad3e0f7aed,e best picturisation ever,positive
d8f007f8cd,wish,positive
2ffe48e341,.  he`s in bed sick. Heavy fever. Went to dr`s. Part of the reason i`m watching Aladdin 2 now and still haven`t been fed,negative
973e2e7792,oh wow THANKS Wayne,positive
355148845d,unfortunately,negative
560d25a810,its magic,positive
0d0959690c,"h, Belinda Jensen was really goo",positive
2a23171680,"sorry, I`m back.. food was calling my name..lol..all is good here  and HI! , sorry I haven`t said sooner",neutral
75b7008aa7,shakalohana week two of flat wavez no surfin,negative
44543f660b,No internet there.,negative
9bf2e0669e,_fisher Hey!! How are u??did u got my reply??,neutral
a2b1222f38,missing  lol. plaid bud. haha. **** i can`t do the BG right.,negative
afd97cdf46,Prom`s over. At denny`s now  with katie and kelly<3,neutral
ae730e3596,"welcome back to school, don`t study too hard, take time off and smell roses too",neutral
bea37d2e5a,stopped working,negative
bd85c138d5,"Yaaaaaaay,",positive
0ee56267e0,hurts,negative
b4f4f3c12b,listening to revenge by kiss to get inspiration...,neutral
c180d0029c,Hey  Why thankyou. How`s u?,neutral
52656c7de9,My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2,neutral
d974b043be,dont listen..he do him..but I tried not taking a nap yesterday and I still was up til 1am and than I got up at 7am,neutral
76627e49ea,"Sry but other day tweets were MIA - twitter network glitch, but story was re: funeral mix-up, as in wrong remains delivered to ea.",negative
7a341d71fe,was hoping to go to Red Lobster this weekend,neutral
e2e8eb98c1,Sad,negative
0147e5eb4b,SCOREless,negative
73a87769d2,Re-direct that energy into creating men`s jewelry.    And frequent walks to,neutral
f5b2b40c51,Sick,negative
0aa7e2d375,nothing fair,negative
4484a53467,do you remember my spok-5?,neutral
188b9c7830,", finally, someone spreading the Hayley Love via Twitter. Welcome to the club, Taylor.",neutral
4364ea8d55,ahh my poor feeeeeet,negative
9681d94126,don`t know  and no not at all,negative
c91b11eaa7,Awesome,positive
a29c1c1a2c,best!,positive
089fef3548,_l I blame yo,negative
09df2b2855,Oh no,negative
f011974528,"I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what`s the point?  I`m just not popular enough.",neutral
fefa99d1cc,nice!,positive
034e6cb11f,_laiter we already discussed this today but yeaaaaaah,neutral
ada600a62d,My finger hurts.,negative
f72cb7c076,great!,positive
4b469e2952,worth,positive
b4d8e07ba3,I don`t want to go home.,negative
8d9d42991a,wishing i had marvelous misadventures of flap jack on DVD,neutral
f76553fa0b,I WANT A HUG!,neutral
1d60af77d3,"don`t worry they are use to it, we always give them grief, they usually take it well!!!  nearly always!",neutral
5a18a30b55,"Yeah,we say shite alot here. you say it as shiiite,rhyming with light",neutral
a0ab8bdb84,hmmm i neeeddd foooddd  nd is looking forward 2 playing with the puppy 2 day nd seeing lewishhh,neutral
78a12305cd,I feel dumb,negative
5b34fdd255,Happy Mother`s Day!,positive
221bd7839f,better and better  FML,positive
1777208983,"actually darn,",negative
ea912151ea,"even if I was drunk, I`d think about using a fake/temporary mail address",neutral
1d2d0e970c,"It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51.",negative
7525aecf0f,"Just joined, no one is following me",neutral
3a08bd17e7,Eating at Zippys with candace!,neutral
c094f4e322,from g`s to gents season,neutral
c4848fbd98,I`m stuffed n can`t move,neutral
fdb0ca60dd,Basically doubled my time.,negative
ab5e9f447e,Kind of tired of poopy puppy patrol....who knew two lil doggies could make so much um...waste. They are super cute though,neutral
5a155e7fe6,Can`t seem to sleep,negative
4f56b23502,Hi Donnie today i want 2 hear from u that u guys r going to reschedule NC so i dont have 2 b bummed anymore,neutral
ceae6a78a2,fed up of pain now,negative
2e6ee964a4,wish,positive
023bdd23e4,happy mothers day to all motherssss!,positive
15e6e63fcc,so weird,negative
d2a7a3c6aa,DENIED at work,negative
581357b39d,saved!,positive
182a1c6ffd,s!!  I just looooove,positive
bef75d0706,haha so bored...but happy mothers day!,neutral
0adf28c5a1,sick,negative
2607c2b4dc,"With that said, I`m out til later. Enjoy your day everyone!",positive
e9778e805e,thx for reminding me.,positive
c2b715d0c1,Enjoy your trip.,positive
d5129ddff9,mom said no.,neutral
b6e65f1dd0,"Played ball at the park, coached a youngster on fundamentals.. Goin home to steak and lobster.. Word up",neutral
54477f9f5c,my car wont start.......,negative
a0029221b9,Come online! I need someone to talk to,neutral
160e7b14cd,looks like you have a lot of fun,positive
a42f6b93be,hate,negative
45d99f1c41,good morning/m,positive
6f3ca88a83,I wish.,neutral
932a24c498,No worries.,positive
60863476b7,you looked great for being sick yesterday! i`m sorry I didn`t really make an effort to say hi..,neutral
4cf2ab3096,I`m at the anime store iat rivercenter going crazy at all the Pokemon stuff. I wish I had money,neutral
b2c8a17eb7,hit,negative
388af20705,Wow.....I`ve been stood up  Might as well go to work.,neutral
adf8edce59,That`s gotta be a record,positive
662a988688,lorraine kelly is a sexy mama!,positive
d2ed2233e0,But gl,positive
1726579262,WHY DIDNT I SEE YOU?,neutral
7e46b70d4c,That was a fun show. Grabbing a bite to eat now.,positive
cd3dc4adf6,I`m stayin til 630,negative
548989249e,Guess I have to go back and scrape out the oven now. Blerg,neutral
ab8d203651,thanks love ) btw happy mother`s day to your mom,positive
fd4e4be626,? I liked your interviews with her.,positive
12fc71ae80,Hey! Polka dots or black dress. Both very glam. Mobile twitter`s a bit **** at the mo.,neutral
bffa3ddd61,i miss you bby,negative
c8414dee56,Went to bed at 12:20 last night. Woke up around 10:45. Holy ****.  I need to get up EARLIER. Like 8. Wish I could get up at 6 every day.,neutral
adc18c23b3,imposible,negative
daac9b8406,You such a good friend <3 I miss you so much,neutral
dd3677d0f3,castlebar doesnt have 3d so im going to galway to see the jb 3d movie but that could be next week or the one after that,neutral
c1b8ead73d,I`m gonna miss him!!,negative
4a740beb70,Good to be (sort of) home! :pI`m guilt stricken,neutral
4430fa8fe2,YES!!! haahaaa.! break out the jellybeaniesss!,positive
bde2ab90b2,worth,positive
f72246da6f,headache,negative
be6c44f4e4,say bloody fantastic film,positive
40aaa0d92e,I need some DRANK & 'GRAPE KONTAKT' from my girlies  lol SOOOO SERIOUS!,neutral
2f955c2829,spamming,negative
bf8bf74559,expensive,negative
a9bf642b42,excited,positive
c95b009480,Use,neutral
ddcf49be93,"lol, I`ve just realised that i`ve been sending messages that were meant to be to you, to a page that doesn`t exist",neutral
fd68fb4b55,cheese and onion! or as my father says `cheese and minging`,neutral
a279f47956,amazing,positive
32dc2d3da5,I have uncontrolable,negative
4b0cbe216b,well.,positive
59c0bf2096,bad,negative
d497141ca8,me too,neutral
80bae565bd,e don`t like,negative
a1f7b2051f,Looking forward,positive
c7571164b4,Oh ****..,negative
49e7efba0b,sad,negative
3b8041c925,I think today I shall listen to some Gary Numan before starting some remixes,neutral
c1c63f57cd,"sooo, i saw RObs car drive by. but that was about it",neutral
a1a6d9f62a,"If you keep up with the 140 character limitation, you will soon be writing more like Shakespeare, than a garrulous fourth-grade scribe.",neutral
678d99802d,Soooo humid outside!,negative
b1600b9554,honored!,positive
f8192b3b64,got it. Welchs grape too please,neutral
2acfbff4b8,I absolutely love it!!,positive
6f2331ede5,happy,positive
c3f8c3c648,wish,positive
c774e791ab,I`m stuck in the plane on the tarmac (again) at LAX.,negative
75c32ca012,britta says she wants to have lunch with you too,neutral
38300df4eb,Celebrating mother`s day with apple pie,positive
f29f7e231f,Thank you,positive
06e8fa9196,sad,negative
bcbbb023a3,Someone make me a cofffeeeeeee......,neutral
69c7c3e3d7,thanx,positive
878c210da3,Admitting that I don`t like action plots and I do like romance plots always makes me feel like I`m setting back the feminist cause.,neutral
69b1e0a735,greater,positive
0644cd71d6,hope,positive
700250b680,http://twitpic.com/4we51 - summer is here.,neutral
5bd1a6d051,.good luck,positive
c7cddafc0c,gooood we miss you!!  hope you had fun w/the in-laws haha,neutral
7a713e298e,i dont know,neutral
ce79f994d7,- man i love your shelves! way to go diy diva!,positive
57721b67b0,loveliness,positive
63b1f48a72,"Sure is rainy! the storm has left everything, everywhere...  would love 4 u 2 follow us",neutral
6f4e50b096,cant wait to see family,positive
a848a03f29,: any kimbeommie updates?,neutral
7b54c70c2a,I love it & miss the good ol days,positive
d8aa90a4a5,I dont feel good AT ALL. fuckkk,negative
9d8da953cb,look like ****!!,negative
73b49ab662,so cut,positive
0f5335f2c5,Sunshine is back....... having a hair day  new due,neutral
0d0cef8f86,is taking mommy to the airport.,neutral
3e9b63d6e6,About to go on 6 hour journey home,neutral
0d2d2e4e93,American trade journalists ask PRs `how are you` almost 100% of the time; UK journalists? Erm...not so much   How come?,neutral
d3b2fac2a5,good,positive
aea595ddd2,Haha most def ^__^ Rob a bank with me so i could get all the swedish fishes in the world,neutral
73fb731c75,w I was kidding.,neutral
1d2ac90e3b,Not only do I feel good but it gave me a good workout,positive
28f000e641,seems to have disappeared out of my life,negative
16021a3195,I sure hope so!,positive
